,player_aces_frequency,player_double_fault_frequency,player_serve_won_frequency,player_points_won_frequency,player_completeness,player_advantage_on_serve,original_match_idx,nb_common_opponents,Sipko_uncertainty,Leo_uncertainty
56,"0,205510766","-0,007848605","0,045159407","0,011323293","0,012320028","0,090318815",560,2,"0,368891675","2,5"
57,"0,041407223","-0,058841843","0,011830635","0,065043407","0,061059688","0,02366127",561,1,"1,059952783",5
58,"-0,003643725","-0,03340081","-0,072064777","-0,165925122","-0,187930961","-0,144129555",563,1,"1,145517898",5
59,"0,11032197","0,03219697","0,220170455","0,109956018","0,054465796","0,440340909",564,1,"1,29056249",5
60,"-0,042356565","0,017327686","-0,174239507","-0,116328861","-0,078797214","-0,348479014",565,1,"1,190856849",5
61,"0,06611078","0,03305539","0,081000596","0,054734129","0,042316789","0,162001191",568,1,"1,039579435",5
62,"-0,104456328","-0,03030303","-0,009447415","0,018861735","0,032373155","-0,018894831",569,1,"1,29056249",5
63,"0,159814324","0,023872679","0,099469496","0,125665706","0,113904788","0,198938992",572,1,"1,059952783",5
64,"0,032175032","-0,047710976","0,076576577","0,038957668","0,03559177","0,153153153",574,1,"1,123499903",5
65,"0,023870418","-0,00511509","-0,037510656","0,08933751","0,113885964","-0,075021313",576,1,"1,123499903",5
66,"-0,057329991","-0,028058543","-0,003557856","-0,003485535","0,021667506","-0,007115711",577,1,"1,167967395",5
67,"0,050764378","-0,031080391","0,000329114","-0,006274081","-0,015227673","0,000658229",578,2,"0,572327732","2,5"
68,"0,091993433","0,009025124","0,125247834","0,150448976","0,179865275","0,250495668",579,2,"0,594420574","2,5"
69,"0,024372294","0,026284271","0,048621934","0,026881477","0,048308132","0,097243867",585,2,"0,556089395","2,5"
70,"-0,003484872","0,024552511","-0,233961666","-0,141125541","-0,131901402","-0,467923333",591,1,"1,262252032",5
71,"0,06228482","0,007042254","0,188262911","0,116688144","0,107056253","0,376525822",593,1,"1,167967395",5
72,"-0,044628662","0,032137179","-0,10470134","-0,061779198","-0,061657418","-0,20940268",594,1,"1,059952783",5
73,"-0,034995434","-0,007024744","0,014559534","0,01338976","0,004726223","0,029119068",595,2,"0,631126016","2,5"
74,"0,040935673","-0,001670844","-0,022556391","0,008354219","0,007114058","-0,045112782",598,1,"1,190856849",5
75,"-0,06612996","-0,009584052","-0,03488595","-0,003077229","0,004596795","-0,0697719",615,1,"1,258757174",5
